Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0805",11.0330,10.1250,90.0000,top
"C2","100nF","SMD-0603",13.0330,9.9550,90.0000,top
"C3","1uF","SMD-0603",12.8700,5.9975,-90.0000,top
"C4","100nF","SMD-0603",14.5450,5.9975,-90.0000,top
"D1","PWR","LED_0805",6.8000,12.1000,180.0000,top
"D2","BZX585-B5V6.115","D_SOD-523",9.0630,9.8765,90.0000,top
"D3","ALERT","LED_0805",6.8000,3.0500,0.0000,top
"J1","HEADER_2x04","PinHeader_2x04_P2.54mm_Edge_Mount",23.4000,7.2500,0.0000,top
"J2","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.9750,7.5000,-90.0000,top
"J3","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",2.9750,7.5000,90.0000,bottom
"R1","180R","R_0603_1608Metric",7.3000,9.6500,90.0000,top
"R2","10k","SMD-0603",19.5900,11.5275,-90.0000,top
"R3","10k","SMD-0603",17.8600,11.5375,-90.0000,top
"R4","4k7","SMD-0603",10.0500,3.0734,0.0000,top
"T1","ALERT/RDY","TestPoint_Keystone_5015_Micro_Mini",19.3800,3.3100,0.0000,bottom
"U1","MIC5504-3.3YM5","SOT-23-5",10.0500,5.9125,-90.0000,top
"U2","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",18.4950,6.7850,180.0000,top
