Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","SMD-0603",-38.2500,-21.0250,-90.0000,top
"C2","100nF","SMD-0603",-33.2500,-21.0000,-90.0000,top
"C3","1uF","SMD-0603",-16.6125,-21.8000,-90.0000,top
"C4","10uF","SMD-0603",16.0000,-14.5000,-90.0000,top
"C5","100nF","SMD-0603",11.2500,-14.5000,90.0000,top
"D1","LED GREEN","LED_1206_mill",-50.3000,-23.0000,0.0000,top
"D2","BZX585-B5V6.115","D_SOD-523",-28.2500,-21.0000,-90.0000,top
"D3","LED ORANGE","LED_1206_mill",9.5000,-21.5000,0.0000,top
"J1","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Horizontal",24.2500,18.0000,0.0000,top
"J2","ALERT/RDY","TestPoint_Keystone_5015_Micro_Mini",-14.2500,15.7500,0.0000,top
"J3","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-6.0000,15.7500,-90.0000,top
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",-6.5000,26.7500,-90.0000,top
"R1","180R","R_0603_1608Metric",-50.0875,-17.7500,0.0000,top
"R2","10k","SMD-0603",-5.5750,37.2600,0.0000,top
"R3","10k","SMD-0603",-5.5750,34.7500,0.0000,top
"R4","4k7","SMD-0603",15.2500,-19.7500,0.0000,top
"U1","MIC5504-3.3YM5","SOT-23-5",-22.1375,-23.5500,0.0000,top
"U3","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",6.3500,-15.2500,0.0000,top
